ma_2,ma_4,ma_8,ma_16,ma_32,ma_64,ma_128,rsi_2,rsi_4,rsi_8,rsi_16,rsi_32,rsi_64,rsi_128,std_2,std_4,std_8,std_16,std_32,std_64,std_128,Open_ret
0.6620171674,0.658557047,0.7041533546,0.6283135928,0.3860955641,0.3076768438,0.3787730329,0.9397846997,0.8689065378,0.8770133203,0.8781097401,0.8692520131,0.8548910887,0.8446737982,0.01386138614,0.05803626227,0.07395610747,0.06691788927,0.5180861106,0.5629838233,0.5816175441,0.00018
0.6341201717,0.658557047,0.7092651757,0.6209813875,0.4047348611,0.3123519666,0.3857871769,0.1536296793,0.4249278045,0.6471808337,0.7183771164,0.7271955053,0.7115710812,0.6984510755,0.06534653465,0.05803626227,0.07510811217,0.07021524868,0.5091514104,0.5549845095,0.576708148,-0.00015
0.6190987124,0.6291946309,0.7003194888,0.6254935138,0.3993643158,0.3206524346,0.3875284889,0.5663825201,0.5785646404,0.6919902506,0.7400757125,0.7432497355,0.7263588894,0.7128732942,0.03762376238,0.07713647902,0.08225550521,0.06668938026,0.4988421568,0.5475399742,0.5716831253,4.00E-05
0.6094420601,0.6191275168,0.6913738019,0.6198533559,0.3877288656,0.3443447669,0.4126613568,0.225743863,0.3566738778,0.5414172448,0.6280401452,0.6426585717,0.6249466053,0.6095725348,0.05544554455,0.05981950155,0.08276648362,0.06455412823,0.4898374433,0.5432564115,0.5698330093,-0.00024
0.6115879828,0.6182885906,0.6805111821,0.6159052453,0.4044497895,0.345715269,0.4123608852,0.6579663336,0.5687501496,0.6228037881,0.6689168459,0.6724268933,0.6519510231,0.6356670031,0.05940594059,0.06057095967,0.07575314579,0.06172849678,0.4824191309,0.5359133039,0.5649699804,6.00E-05
0.6201716738,0.6065436242,0.6594249201,0.6209813875,0.4027117724,0.3542132151,0.4243055821,0.3567047107,0.4140197315,0.5211192516,0.5924570194,0.6040061944,0.5833138712,0.5659854457,0.04356435644,0.05190921103,0.05446498662,0.06410952785,0.4734530089,0.5292503029,0.5609238617,-0.00016
0.6030042918,0.6216442953,0.6632587859,0.6226734349,0.3980757667,0.3722075638,0.4287009063,0.4835247592,0.4617316899,0.5396960829,0.6016305876,0.610510709,0.5891092916,0.5715295441,0.01188118812,0.03797271321,0.05299269305,0.06443475816,0.4650724873,0.5244410915,0.5563402568,-1.00E-04
0.6137339056,0.6040268456,0.6587859425,0.6209813875,0.5718580878,0.366722309,0.4282135442,0.5910257064,0.4980598705,0.5529102461,0.607906715,0.6148641976,0.5929435267,0.5751758311,0.007920792079,0.01898635661,0.04682732071,0.06370234092,0.07335542509,0.5179448631,0.5517455793,-6.00E-05
0.6083690987,0.6098993289,0.675399361,0.6294416244,0.5790739627,0.3830712401,0.3876525925,0.299741028,0.4030804821,0.5037283505,0.5749380744,0.5871352457,0.5660194179,0.5482951739,0.01782178218,0.01529136984,0.03875390376,0.07699217782,0.07661600059,0.5132741982,0.5560012124,-0.00015
0.6051502146,0.6157718121,0.6760383387,0.6271855612,0.624173181,0.3888457758,0.4164027712,0.5742738246,0.480791127,0.5284277943,0.5856725286,0.5942015042,0.5720718185,0.5539692767,0.01188118812,0.0209385705,0.04017182449,0.07408862894,0.130288114,0.5071939147,0.5559648357,-9.00E-05
